,title,summary,installs,minInstalls,realInstalls,score,ratings,reviews,price,free,currency,sale,saleTime,originalPrice,saleText,offersIAP,inAppProductPrice,developer,developerId,developerEmail,developerWebsite,developerAddress,privacyPolicy,genre,genreId,icon,headerImage,video,videoImage,contentRating,contentRatingDescription,adSupported,containsAds,released,updated,version,recentChanges,recentChangesHTML,appId,url
0,Instagram,"Create & share photos, stories, & clips with the friends you love.","1,000,000,000+",1000000000,4392757565,3.980456,139402147,4390291,0,True,USD,False,,,,True,$0.05 - $219.99 per item,Instagram,Instagram,android-support@instagram.com,http://help.instagram.com/,"Facebook, Inc.
1601 Willow Rd
Menlo Park, CA 94025
United States",http://instagram.com/legal/privacy/,Social,SOCIAL,https://play-lh.googleusercontent.com/LM9vBt64KdRxLFRPMpNM6OvnGTGoUFSXYV-w-cGVeUxhgFWkCsfsPSJ5GYh7x9qKqw,https://play-lh.googleusercontent.com/9ASiwrVdio0I2i2Sd1UzRczyL81piJoKfKKBoC8PUm2q6565NMQwUJCuNGwH-enhm00,https://www.youtube.com/embed/uwZZEWrGgtY?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/9ASiwrVdio0I2i2Sd1UzRczyL81piJoKfKKBoC8PUm2q6565NMQwUJCuNGwH-enhm00,Teen,,True,True,"Apr 3, 2012",1662566872,Varies with device,,,com.instagram.android,https://play.google.com/store/apps/details?id=com.instagram.android&hl=en&gl=us
1,Ludo King™,Ludo King is a board game played between friends and family. A fun dice game.,"500,000,000+",500000000,784376872,4.2309885,9035087,10579,0,True,USD,False,,,,True,$0.49 - $184.99 per item,Gametion,8432995497152947670,support@ludoking.com,https://www.gametion.com/,"Mumbai, India",https://www.gametion.com/privacypolicy.htm,Board,GAME_BOARD,https://play-lh.googleusercontent.com/AwrQb4bJk-34pw_ye7VhjDN0Azraz_pYYq9s5FbcapiF7qfxbYYvqWl-TjIF9xJIeA,https://play-lh.googleusercontent.com/s6uTiCTgdY2AKVogIgenHXMIGhYEZ2x3ebGeIDFRjJIvS2gIgyzhgevK0B1fvNc-a75r,https://www.youtube.com/embed/vLyYXM0fCn8?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/s6uTiCTgdY2AKVogIgenHXMIGhYEZ2x3ebGeIDFRjJIvS2gIgyzhgevK0B1fvNc-a75r,Everyone,,True,True,"Dec 17, 2016",1662471399,7.2.0.229,- Bug fixes,- Bug fixes,com.ludo.king,https://play.google.com/store/apps/details?id=com.ludo.king&hl=en&gl=us
2,"PhonePe UPI, Payment, Recharge","Secure UPI, Money Transfer, Recharge, Bill Payment, Mutual Fund, Gold, Insurance","100,000,000+",100000000,404757491,4.3688602,8915141,3334,0,True,USD,False,,,,False,,PhonePe,PhonePe,support@phonepe.com,http://www.phonepe.com,,http://www.phonepe.com/en/policy.html,Finance,FINANCE,https://play-lh.googleusercontent.com/6iyA2zVz5PyyMjK5SIxdUhrb7oh9cYVXJ93q6DZkmx07Er1o90PXYeo6mzL4VC2Gj9s,https://play-lh.googleusercontent.com/XFq_b28k0W69LtnU4P1vZiXSYhBsjvI_DiXyxiVoJNccOlOGSwwICTecNl9gUL1Kot4,,,Everyone,,True,True,"Oct 14, 2016",1662731562,4.1.39,"Get. Set. Gold! 

You can now accumulate Gold at regular intervals by setting up a Gold SIP on PhonePe! 

 P.S: Without worry about market risks and fluctuations! (Yay!)",Get. Set. Gold! <br><br>You can now accumulate Gold at regular intervals by setting up a Gold SIP on PhonePe! <br><br> P.S: Without worry about market risks and fluctuations! (Yay!),com.phonepe.app,https://play.google.com/store/apps/details?id=com.phonepe.app&hl=en&gl=us
3,Weather Live - Radar & Widget,"The weather app give you local weather forecast, real-time radar, widgets.","5,000,000+",5000000,7008416,4.7268786,73516,2527,0,True,USD,False,,,,True,$4.99 - $9.99 per item,Weather Forecast & Widget & Radar,9020630781856452806,weatherfeedback@outlook.com,https://cghxstudio.com,HONG KONG,https://sites.google.com/view/weatherteam,Weather,WEATHER,https://play-lh.googleusercontent.com/yEo11_eRosEj_2XkeQvVCBlkMUCAqQ5aToTQqfS_lxDYdD8aZXz3IPHjktlU3GZLMXg,https://play-lh.googleusercontent.com/qWAl-7t0QFG0u544YVVZxnpb_kXVBd5F2Vh8piEfxz23N7ntMSYErQhntx2ZEEn7Zlw,https://www.youtube.com/embed/s2dKry1PsOQ?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/qWAl-7t0QFG0u544YVVZxnpb_kXVBd5F2Vh8piEfxz23N7ntMSYErQhntx2ZEEn7Zlw,Everyone,,True,True,"Jan 30, 2020",1661484120,1.5.4,-Bug fixes and performance enhancements.,-Bug fixes and performance enhancements.,com.accurate.live.weather.forecast.pro,https://play.google.com/store/apps/details?id=com.accurate.live.weather.forecast.pro&hl=en&gl=us
4,"PhonePe UPI, Payment, Recharge","Secure UPI, Money Transfer, Recharge, Bill Payment, Mutual Fund, Gold, Insurance","100,000,000+",100000000,404757491,4.3688602,8915141,3334,0,True,USD,False,,,,False,,PhonePe,PhonePe,support@phonepe.com,http://www.phonepe.com,,http://www.phonepe.com/en/policy.html,Finance,FINANCE,https://play-lh.googleusercontent.com/6iyA2zVz5PyyMjK5SIxdUhrb7oh9cYVXJ93q6DZkmx07Er1o90PXYeo6mzL4VC2Gj9s,https://play-lh.googleusercontent.com/XFq_b28k0W69LtnU4P1vZiXSYhBsjvI_DiXyxiVoJNccOlOGSwwICTecNl9gUL1Kot4,,,Everyone,,True,True,"Oct 14, 2016",1662731562,4.1.39,"Get. Set. Gold! 

You can now accumulate Gold at regular intervals by setting up a Gold SIP on PhonePe! 

 P.S: Without worry about market risks and fluctuations! (Yay!)",Get. Set. Gold! <br><br>You can now accumulate Gold at regular intervals by setting up a Gold SIP on PhonePe! <br><br> P.S: Without worry about market risks and fluctuations! (Yay!),com.phonepe.app,https://play.google.com/store/apps/details?id=com.phonepe.app&hl=en&gl=us
5,Price History: Track and save!,"All in one shopping: Deals, Price History, Price Drop Alerts and Price Tracker","500,000+",500000,942244,3.7,20878,2,0,True,USD,False,,,,True,$0.49 - $1.49 per item,Price History,Price+History,contact@pricehistory.in,https://pricehistoryapp.com,,https://pricehistoryapp.com/privacy-policy,Shopping,SHOPPING,https://play-lh.googleusercontent.com/cE3Qfppc_JB8SV33RnaLWGptaVjIE6prFYI7LSY_dd534SWqVNd9FR2embhf7j9lQp7H,https://play-lh.googleusercontent.com/BSUDrV5n9iV7GD7sYILRVGdyUyDppc3GpIbV_cK3DdTDUCvDkam4r9rvOVluV8nY9xM,,,Everyone,,True,True,"Mar 22, 2019",1660315063,6.4.1,"An all-new major release is here! 🎉
We got a new LOGO 😍
Completely re-imagined UI/UX! 😎
Added filters, categories, and sorting methods 😋
Homepage personalisation 🎨
Accurate pricing information 🎯
On-time price and stock alerts 🤑
Zoomable Price History chart 🔎
Better shopping experience 🛍 ","An all-new major release is here! 🎉<br>We got a new LOGO 😍<br>Completely re-imagined UI/UX! 😎<br>Added filters, categories, and sorting methods 😋<br>Homepage personalisation 🎨<br>Accurate pricing information 🎯<br>On-time price and stock alerts 🤑<br>Zoomable Price History chart 🔎<br>Better shopping experience 🛍 ",in.pricehistory.app,https://play.google.com/store/apps/details?id=in.pricehistory.app&hl=en&gl=us
6,Ghost Town Adventures: Mystery,Ghost Town Adventures - is a wonderful journey full of magic and mystery!,"10,000,000+",10000000,18847231,4.281021,324954,13678,0,True,USD,False,,,,True,$0.99 - $99.99 per item,Rimute Games,Rimute+Games,support@perfectplaystudio.com,,,http://perfectplaystudio.com/en/privacy_security.html,Adventure,GAME_ADVENTURE,https://play-lh.googleusercontent.com/6BbEdzGio6EHv5uZ-rgCNFfcGUpdIVaLvsIw9Oj6mFNIre6VTcTqYe_nfFMZbLmO_9JR,https://play-lh.googleusercontent.com/NQi_pGl-1kKXrEYIdEPRRaA0N6Fyx6AU311ywRyetPsMt-XAuota-eKmQrrP1NXLkQ,https://www.youtube.com/embed/RD159n_-wzA?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/NQi_pGl-1kKXrEYIdEPRRaA0N6Fyx6AU311ywRyetPsMt-XAuota-eKmQrrP1NXLkQ,Everyone,,True,True,"Feb 19, 2016",1614934223,2.62,"We fixed several bugs, and the game is now smoother than ever.","We fixed several bugs, and the game is now smoother than ever.",com.webgames.ghosts,https://play.google.com/store/apps/details?id=com.webgames.ghosts&hl=en&gl=us
7,Yono Lite SBI - Mobile Banking,Anywhere Personal is now Yono Lite. Manage your Bank accounts from your Mobile,"50,000,000+",50000000,61872784,4.2809634,2603795,6215,0,True,USD,False,,,,False,,State Bank of India,State+Bank+of+India,feedback.statebankanywhere@sbi.co.in,http://www.sbi.co.in,,https://www.onlinesbi.com/personal/privacy_statement.html,Finance,FINANCE,https://play-lh.googleusercontent.com/-EhLlpZOCHTXahHvx3_-O5rosAnwCYkzdhjwysn9yVVV9SzVcYaC-qxamDj5lp-YTA,https://play-lh.googleusercontent.com/V76u6uwAJ5ficBsBCTy-l9EP0WOHIOfvratf3t_bGMSKNxCX59Lp-3ZhsOUUuZhrnC4,https://www.youtube.com/embed/ls7ZsfMNvZc?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/V76u6uwAJ5ficBsBCTy-l9EP0WOHIOfvratf3t_bGMSKNxCX59Lp-3ZhsOUUuZhrnC4,Everyone,,False,False,"Mar 13, 2014",1662704902,5.3.59,"i) UPI limit enhancement from 5K to 1 lakh.
ii) New Customer Care number.
iii) Minor fixes",i) UPI limit enhancement from 5K to 1 lakh.<br>ii) New Customer Care number.<br>iii) Minor fixes,com.sbi.SBIFreedomPlus,https://play.google.com/store/apps/details?id=com.sbi.SBIFreedomPlus&hl=en&gl=us
8,Microsoft Office: Edit & Share,Easily scan documents & convert them to PDFs from anywhere with Office,"500,000,000+",500000000,653556909,4.4671655,1452350,22666,0,True,USD,False,,,,True,$0.99 - $99.99 per item,Microsoft Corporation,6720847872553662727,offandfb@microsoft.com,https://products.office.com,One Microsoft Way,http://go.microsoft.com/fwlink/?LinkID=507380,Productivity,PRODUCTIVITY,https://play-lh.googleusercontent.com/D6XDCje7pB0nNP1sOZkwD-tXkV0_As3ni21us5yZ71_sy0FTWv1s_MQBe1JUnHlgE94,https://play-lh.googleusercontent.com/USMpdzZUd8OSBpdZYJ2d7p5ThDyrGJWl8-1akHurM-szSiNV4XJKRaY7kQB6tPBPlQ,,,Everyone,,True,True,"Feb 16, 2020",1661535872,16.0.15601.20060,"﻿Thank you for using Office. 

We regularly release updates to the app, which include great new features, as well as improvements for speed and reliability.","﻿Thank you for using Office. <br><br>We regularly release updates to the app, which include great new features, as well as improvements for speed and reliability.",com.microsoft.office.officehubrow,https://play.google.com/store/apps/details?id=com.microsoft.office.officehubrow&hl=en&gl=us
9,Netflix,Netflix is the leading subscription service for watching TV episodes and movies.,"1,000,000,000+",1000000000,2005598611,4.4302297,13534848,881026,0,True,USD,False,,,,False,,"Netflix, Inc.","Netflix,+Inc.",playstore@netflix.com,http://www.netflix.com,"100 Winchester Circle
Los Gatos, CA 95032-1815
USA",http://www.netflix.com/privacy,Entertainment,ENTERTAINMENT,https://play-lh.googleusercontent.com/TBRwjS_qfJCSj1m7zZB93FnpJM5fSpMA_wUlFDLxWAb45T9RmwBvQd5cWR5viJJOhkI,https://play-lh.googleusercontent.com/0rgPYj0GwZ6txpYZrzoMdhwzqg7vY6C9B-Ol7jlaz-Ox2rgpD4Tr82ZgDqkirrEohbGm,https://www.youtube.com/embed/qLR10UAlKUc?ps=play&vq=large&rel=0&autohide=1&showinfo=0,https://play-lh.googleusercontent.com/0rgPYj0GwZ6txpYZrzoMdhwzqg7vY6C9B-Ol7jlaz-Ox2rgpD4Tr82ZgDqkirrEohbGm,Teen,,False,False,"May 5, 2011",1662669114,Varies with device,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,Get the best experience for enjoying recent hits and timeless classics with our latest Netflix update for your phone and tablet.,com.netflix.mediaclient,https://play.google.com/store/apps/details?id=com.netflix.mediaclient&hl=en&gl=us
